,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,clusters,cluster
646,5.12314319610596,9.54674816131592,0.718345940113068,64.8249969482422,0.764352381229401,-0.220911160111427,0.582734704017639,0.572584390640259,0.294512063264847,0.518526017665863,0,pink
647,4.91127347946167,9.64809131622314,0.670689463615417,64.9499969482422,0.777061343193054,-0.28553095459938,0.723406910896301,0.50963282585144,0.240043506026268,0.443020522594452,0,pink
649,6.41681957244873,10.7600412368774,0.925937592983246,69.9400024414063,0.80087822675705,0.164431661367416,0.79217940568924,0.646914541721344,0.230811893939972,0.349765449762344,1,purple
651,6.64149332046509,10.7154054641724,0.934782326221466,69.9800033569336,0.843784511089325,0.124639108777046,0.689930737018585,0.684358894824982,0.206444725394249,0.519230902194977,1,purple
652,6.72453117370605,10.7578868865967,0.939308643341064,70.0,0.842656433582306,0.0924967303872108,0.688005983829498,0.697530388832092,0.182344138622284,0.395424008369446,1,purple
653,6.62131214141846,10.8149251937866,0.947236657142639,70.0199966430664,0.906293272972107,0.0302391666918993,0.677172124385834,0.685721278190613,0.165199533104897,0.42458313703537,1,purple
654,6.70236206054688,10.8172235488892,0.926406621932983,70.0400009155273,0.904440462589264,0.0683264210820198,0.679236710071564,0.699049353599548,0.169576168060303,0.516928195953369,1,purple
655,6.96512508392334,10.8188610076904,0.931420564651489,70.0599975585938,0.894312977790833,0.0216071084141731,0.565794229507446,0.693133771419525,0.204995915293694,0.557760655879974,1,purple
656,6.98421430587769,10.8365478515625,0.937558948993683,70.0800018310547,0.898683428764343,0.0851710438728333,0.473952919244766,0.73894214630127,0.18784487247467,0.601368844509125,1,purple
657,7.03713750839233,10.8426990509033,0.925923228263855,70.0999984741211,0.889428853988647,0.175080507993698,0.41216829419136,0.722384810447693,0.202705159783363,0.628003656864166,1,purple
658,6.87376308441162,10.8566827774048,0.906029284000397,70.3000030517578,0.870515048503876,0.145733326673508,0.445922136306763,0.709376156330109,0.187254935503006,0.55261355638504,1,purple
659,7.07432460784912,10.87939453125,0.892166078090668,70.5,0.840727865695953,0.142413303256035,0.414021193981171,0.707113683223724,0.196434810757637,0.622935652732849,1,purple
660,7.11836433410645,10.8871908187866,0.919763147830963,70.6999969482422,0.876887500286102,0.0315260142087936,0.495673954486847,0.740174949169159,0.243214577436447,0.592990577220917,1,purple
661,7.03547239303589,10.895435333252,0.885667324066162,70.9000015258789,0.884751558303833,0.0542874671518803,0.462255150079727,0.712461113929749,0.226171210408211,0.568460404872894,1,purple
662,7.31189775466919,10.846887588501,0.905080497264862,71.0999984741211,0.86435604095459,-0.063618965446949,0.424088776111603,0.698266088962555,0.205927118659019,0.654063105583191,1,purple
663,6.75452375411987,10.8734121322632,0.867582559585571,71.3000030517578,0.778439998626709,0.0776862800121307,0.417581915855408,0.703333020210266,0.251194685697556,0.604759931564331,1,purple
664,4.53501987457275,8.09866237640381,0.728269994258881,52.5400009155273,0.849283397197723,0.211245983839035,0.814070403575897,0.637270748615265,0.197606652975082,0.641168415546417,2,dark purple
665,5.22014808654785,8.11541175842285,0.729647696018219,52.9799995422363,0.891153275966644,0.135754033923149,0.771188259124756,0.658397734165192,0.216630280017853,0.721768498420715,2,dark purple
666,4.9651346206665,8.17717552185059,0.622255146503448,53.4199981689453,0.838006317615509,0.117793247103691,0.862870395183563,0.67433100938797,0.172045439481735,0.665988922119141,2,dark purple
667,4.1976957321167,8.19904518127441,0.633197724819183,53.8600006103516,0.757477760314941,0.003233395749703,0.889738321304321,0.713851511478424,0.197590127587318,0.681955635547638,2,dark purple
668,4.60625171661377,8.25020694732666,0.738558650016785,54.2999992370605,0.891129910945892,0.0716651976108551,0.874849140644073,0.693436503410339,0.18412871658802,0.747062861919403,2,dark purple
669,5.60819959640503,8.3574047088623,0.724297225475311,54.7400016784668,0.851896166801453,0.0084514012560248,0.790444314479828,0.657618284225464,0.209212630987167,0.683400928974152,2,dark purple
670,5.05726194381714,8.42257022857666,0.685111880302429,55.1800003051758,0.679418444633484,0.0377842076122761,0.897836148738861,0.709003925323486,0.152376383543015,0.576750814914703,2,dark purple
671,4.96505308151245,8.4699068069458,0.676289200782776,55.6199989318848,0.793793737888336,-0.0676911175251007,0.880178451538086,0.66016948223114,0.210818722844124,0.485888302326202,2,dark purple
672,3.86035108566284,8.47515106201172,0.651468753814697,56.060001373291,0.676916062831879,-0.0010918076150119,0.912682354450226,0.681699812412262,0.280321031808853,0.341002404689789,2,dark purple
673,3.98591613769531,8.47344875335693,0.687448561191559,56.5,0.852016150951385,-0.0404797494411469,0.945436120033264,0.674785077571869,0.265278548002243,0.441527426242828,2,dark purple
674,4.51441144943237,8.48416137695313,0.64730316400528,56.875,0.751168370246887,0.0874819606542587,0.893955230712891,0.658924579620361,0.304909706115723,0.516604602336884,2,dark purple
675,5.48131084442139,8.54010963439941,0.66911107301712,57.25,0.783046364784241,0.0765725150704384,0.838609993457794,0.714789271354675,0.247518941760063,0.670288562774658,2,dark purple
676,5.00369310379028,8.57833576202393,0.760716795921326,57.625,0.816680490970612,0.0600366517901421,0.846328496932983,0.715819656848907,0.25000125169754,0.623060166835785,2,dark purple
677,4.96680974960327,8.61975765228271,0.746247828006744,58.0,0.78744775056839,0.113771118223667,0.856665849685669,0.644655406475067,0.269940108060837,0.578076839447021,0,pink
678,5.31948328018188,8.60258674621582,0.642703354358673,58.375,0.823720037937164,0.198195651173592,0.847024917602539,0.674681186676025,0.252728432416916,0.618854880332947,0,pink
679,4.37795066833496,8.62186336517334,0.632729649543762,58.75,0.730264723300934,0.108457863330841,0.887770473957062,0.587594330310822,0.295109748840332,0.521073400974274,0,pink
681,6.6469612121582,10.5352869033813,0.808002650737762,69.7600021362305,0.575308859348297,-0.192107111215591,0.844570934772491,0.629187405109406,0.221744120121002,0.381428450345993,1,purple
682,6.03857469558716,10.4826850891113,0.79331761598587,69.9199981689453,0.443107843399048,-0.294750183820724,0.958768308162689,0.614257872104645,0.253589481115341,0.316206783056259,1,purple
683,5.83955860137939,10.4250516891479,0.868422448635101,70.0,0.484110981225967,-0.304521650075912,0.954113841056824,0.580756306648254,0.29151639342308,0.236502408981323,1,purple
684,5.37203979492188,10.3195104598999,0.851554989814758,70.0800018310547,0.528125941753387,-0.317181766033173,0.941152513027191,0.551990568637848,0.322790801525116,0.175151214003563,1,purple
685,5.09635400772095,10.2514142990112,0.812141120433807,70.1600036621094,0.372610419988632,-0.305750697851181,0.958908975124359,0.544410705566406,0.351506292819977,0.126218989491463,1,purple
686,4.72025108337402,10.2331838607788,0.686650037765503,70.2399978637695,0.425966531038284,-0.273400783538818,0.941309869289398,0.570836424827576,0.482183158397675,0.143608585000038,1,purple
687,4.7562370300293,10.2445907592773,0.832333207130432,70.3199996948242,0.369156330823898,-0.289111882448196,0.930213809013367,0.597015142440796,0.385433316230774,0.188292741775513,1,purple
688,5.62251901626587,10.2492160797119,0.834824681282043,70.4000015258789,0.531736314296722,-0.27333790063858,0.823959648609161,0.636590421199799,0.277412533760071,0.437318921089172,1,purple
689,5.30261945724487,10.2484922409058,0.802605867385864,70.5250015258789,0.481616854667664,-0.261306583881378,0.898470818996429,0.593827843666077,0.336207509040833,0.132486552000046,1,purple
690,5.14824151992798,10.2613315582275,0.752899527549744,70.6500015258789,0.438300013542175,-0.290921479463577,0.872239470481873,0.515908479690552,0.332830756902695,0.139880895614624,1,purple
691,5.40928936004639,10.2799072265625,0.793500781059265,70.7750015258789,0.564455687999725,-0.335739225149155,0.86030238866806,0.56362783908844,0.255006581544876,0.157048657536507,1,purple
692,5.95215749740601,10.2988357543945,0.890809535980225,70.9000015258789,0.613584101200104,-0.289313048124313,0.848003804683685,0.559758365154266,0.235946461558342,0.396424621343613,1,purple
693,5.78761577606201,10.2048778533936,0.778536558151245,71.0250015258789,0.56461364030838,-0.242127045989037,0.764324545860291,0.629382133483887,0.321684211492538,0.397469758987427,1,purple
694,6.10421419143677,10.2698383331299,0.850326180458069,71.1500015258789,0.574029803276062,-0.155177593231201,0.751816868782043,0.62355649471283,0.310851871967316,0.401736408472061,1,purple
695,5.90142917633057,8.84971237182617,0.83044159412384,58.9799995422363,0.663381695747375,0.171487256884575,0.706095576286316,0.789322316646576,0.287081897258759,0.385179370641708,0,pink
